,A,B,C
1665,3,9,1
1666,1,3,3
1667,0,7,1
1668,1,6,0
1669,2,5,1
1670,0,5,1
1671,2,6,4
1672,4,2,0
1673,0,7,0
1674,1,2,0
1675,1,7,4
1676,2,5,2
1677,1,2,1
1678,2,6,0
1679,2,8,0
1680,1,5,3
1681,1,3,1
1682,1,4,1
1683,1,2,0
1684,4,3,0
1685,0,4,2
1686,1,3,1
1687,1,4,2
1688,1,10,2
1689,3,3,2
1690,3,5,0
1691,2,5,2
1692,2,7,0
1693,1,6,2
1694,0,4,0
1695,2,6,1
1696,2,4,0
1697,4,7,0
1698,1,11,3
1699,2,5,0
1700,2,7,2
1701,1,3,0
1702,0,4,1
1703,2,5,1
1704,0,6,2
1705,2,2,2
1706,2,1,3
1707,1,1,1
1708,2,6,1
1709,2,4,0
1710,1,2,0
1711,4,3,1
1712,0,4,2
1713,2,2,1
1714,0,3,0
1715,1,6,1
1716,3,3,1
1717,2,5,1
1718,3,4,1
1719,3,11,1
1720,0,6,0
1721,0,1,0
1722,1,3,0
1723,2,4,2
1724,1,11,1
1725,2,6,1
1726,0,1,3
1727,0,4,1
1728,2,2,0
1729,1,2,2
1730,1,9,0
1731,5,1,0
1732,0,6,1
1733,2,4,0
1734,1,0,1
1735,1,7,1
1736,3,6,4
1737,2,3,0
1738,1,4,1
1739,3,5,1
1740,2,2,0
1741,0,7,0
1742,1,3,0
1743,2,4,1
1744,0,6,0
1745,2,3,1
1746,4,3,0
1747,1,5,3
1748,0,5,0
1749,4,7,1
1750,3,4,0
1751,2,4,1
1752,0,3,1
1753,1,3,2
1754,1,4,0
1755,1,6,1
1756,0,5,2
1757,3,6,2
1758,1,3,0
1759,5,5,0
1760,0,4,2
1761,1,4,1
1762,1,6,0
1763,0,7,1
1764,1,4,0
1765,0,8,2
1766,0,4,1
1767,2,1,1
1768,1,7,1
1769,0,4,0
1770,3,6,1
1771,1,7,1
1772,3,6,0
1773,2,5,1
1774,3,8,0
1775,2,4,2
1776,1,4,0
1777,0,4,0
1778,2,3,0
1779,1,1,0
1780,0,2,1
1781,1,5,2
1782,1,1,2
1783,1,6,1
1784,2,3,0
1785,1,3,1
1786,4,6,0
1787,1,5,1
1788,2,5,0
1789,2,3,1
1790,1,5,0
1791,2,4,0
1792,1,5,1
1793,2,5,1
1794,1,3,1
1795,0,6,1
1796,1,4,1
1797,1,7,1
1798,0,6,0
1799,1,7,0
1800,2,1,1
1801,2,3,0
1802,0,4,0
1803,2,4,2
1804,5,12,0
1805,2,2,0
1806,3,3,1
1807,3,5,0
1808,2,2,2
1809,4,4,0
1810,2,3,2
1811,3,6,2
1812,0,2,1
1813,0,5,1
1814,4,5,1
1815,1,4,1
1816,4,2,2
1817,1,2,2
1818,0,5,1
1819,2,5,3
1820,2,2,1
1821,2,7,2
1822,3,5,0
1823,4,2,1
1824,2,5,0
1825,2,7,0
1826,1,6,1
1827,2,1,0
1828,2,1,1
1829,1,4,2
1830,0,4,1
1831,1,7,0
1832,1,4,0
1833,0,8,0
1834,3,5,0
1835,3,4,1
1836,4,4,0
1837,0,3,0
1838,2,3,1
1839,3,3,1
1840,1,5,1
1841,0,0,0
1842,0,3,0
1843,0,7,0
1844,3,6,1
1845,3,5,1
1846,1,3,3
1847,3,4,0
1848,0,4,1
1849,1,5,1
1850,4,3,0
1851,5,5,1
1852,3,6,0
1853,0,6,1
1854,2,7,0
1855,0,2,2
1856,3,6,2
1857,1,6,0
1858,0,7,1
1859,5,5,0
1860,1,2,2
1861,2,2,0
1862,0,7,2
1863,4,8,0
1864,3,3,1
1865,2,9,2
1866,2,4,0
1867,0,3,0
1868,2,4,0
1869,1,4,1
1870,1,3,0
1871,3,7,0
1872,1,3,1
1873,4,3,4
1874,1,2,0
1875,2,5,3
1876,3,3,1
1877,1,5,1
1878,4,3,1
1879,1,9,1
1880,0,4,0
1881,0,3,1
1882,3,2,1
1883,1,4,0
1884,0,2,0
1885,1,6,0
1886,1,5,2
1887,2,5,1
1888,3,5,1
1889,2,6,2
1890,2,5,0
1891,2,3,2
1892,2,2,0
1893,0,2,0
1894,0,2,1
1895,1,6,1
1896,2,7,0
1897,2,5,1
1898,1,6,0
1899,4,2,4
1900,1,4,1
1901,0,4,2
1902,2,5,1
1903,0,6,1
1904,1,4,1
1905,1,9,2
1906,2,3,3
1907,4,3,0
1908,3,2,2
1909,1,9,0
1910,1,2,0
1911,1,0,0
1912,2,2,1
1913,1,6,1
1914,2,2,2
1915,1,3,1
1916,1,4,0
1917,4,3,0
1918,4,8,0
1919,2,7,2
1920,0,6,1
1921,5,0,1
1922,1,9,2
1923,1,3,0
1924,1,4,1
1925,5,4,1
1926,2,3,1
1927,2,4,1
1928,1,5,2
1929,3,4,0
1930,0,5,0
1931,0,6,1
1932,0,6,0
1933,2,6,0
1934,3,1,1
1935,0,7,0
1936,0,7,0
1937,1,4,0
1938,1,6,0
1939,0,10,0
1940,1,4,1
1941,5,4,0
1942,2,3,0
1943,2,4,0
1944,3,3,0
1945,2,6,1
1946,0,5,0
1947,4,4,0
1948,0,5,2
1949,0,4,2
1950,0,2,0
1951,0,8,1
1952,1,2,0
1953,1,10,0
1954,0,3,0
1955,4,5,0
1956,1,5,0
1957,3,3,0
1958,5,2,2
1959,1,3,0
1960,1,4,3
1961,0,2,1
1962,2,3,1
1963,1,3,1
1964,4,6,1
1965,2,2,0
1966,5,3,1
1967,0,8,1
1968,3,8,0
1969,3,4,3
1970,3,2,0
1971,3,3,1
1972,0,1,0
1973,2,2,1
1974,2,6,1
1975,1,1,0
1976,4,4,0
1977,1,3,4
1978,1,4,4
1979,2,5,0
1980,2,7,0
1981,0,9,2
1982,6,5,3
1983,0,4,0
1984,2,4,0
1985,1,4,1
1986,0,6,0
1987,4,5,1
1988,0,7,0
1989,5,1,1
1990,1,3,0
1991,3,5,1
1992,3,4,2
1993,2,1,1
1994,3,3,1
1995,2,3,1
1996,3,6,0
1997,0,6,1
1998,4,7,1
1999,2,2,0
2000,1,3,1
2001,1,1,1
2002,3,5,2
2003,1,0,1
2004,1,6,0
2005,2,5,1
2006,1,6,1
2007,4,6,0
2008,3,5,1
2009,2,6,0
2010,2,4,1
2011,3,4,1
2012,0,3,0
2013,2,5,0
2014,1,3,1
2015,0,6,0
2016,2,5,0
2017,2,5,1
2018,3,3,0
2019,1,10,0
2020,1,3,1
2021,4,4,1
2022,1,2,1
2023,1,6,0
2024,1,8,1
2025,3,6,0
2026,1,4,1
2027,0,2,2
2028,4,6,0
2029,1,3,1
2030,1,4,0
2031,1,8,0
2032,2,4,1
2033,1,6,0
2034,1,2,1
2035,2,3,2
2036,1,5,1
2037,0,6,0
2038,1,6,2
2039,0,2,1
2040,5,3,2
2041,4,6,1
2042,1,4,3
2043,1,3,2
2044,1,2,2
2045,1,5,0
2046,1,4,3
2047,1,3,0
2048,3,5,2
2049,1,3,1
2050,0,6,1
2051,2,4,0
2052,3,4,1
2053,3,5,0
2054,0,7,2
2055,1,1,0
2056,3,4,2
2057,0,2,4
2058,3,8,2
2059,1,1,1
2060,4,2,0
2061,1,7,0
2062,2,7,0
2063,1,1,0
2064,3,4,1
2065,2,4,0
2066,1,1,0
2067,2,8,0
2068,2,3,0
2069,0,3,1
2070,0,6,2
2071,3,3,2
2072,4,0,2
2073,3,9,0
2074,3,3,2
2075,0,6,0
2076,2,1,0
2077,2,5,4
2078,3,8,2
2079,1,2,0
2080,1,3,0
2081,2,8,0
2082,1,7,0
2083,1,3,1
2084,1,5,0
2085,1,5,1
2086,3,6,0
2087,2,7,1
2088,2,1,3
2089,2,2,2
2090,1,6,1
2091,1,4,0
2092,7,3,2
2093,4,4,0
2094,1,4,2
2095,0,4,3
2096,1,5,1
2097,1,4,1
2098,2,5,1
2099,2,4,1
2100,4,5,2
2101,0,4,1
2102,1,6,1
2103,0,4,0
2104,5,6,2
2105,1,8,1
2106,0,6,1
2107,2,5,1
2108,2,6,1
2109,2,5,0
2110,4,8,3
2111,3,5,1
2112,1,4,1
2113,2,4,1
2114,0,3,1
2115,1,3,0
2116,1,5,3
2117,2,2,1
2118,1,8,1
2119,6,3,3
2120,4,5,1
2121,3,1,1
2122,1,4,1
2123,0,5,1
2124,2,5,1
2125,3,0,0
2126,1,3,1
2127,0,9,0
2128,1,4,1
2129,1,5,0
2130,3,3,0
2131,1,7,0
2132,0,4,0
2133,2,5,0
2134,0,7,1
2135,1,6,1
2136,1,2,2
2137,0,5,1
2138,4,6,0
2139,2,6,0
2140,2,5,1
2141,1,5,1
2142,1,2,1
2143,3,5,1
2144,3,6,1
2145,5,7,1
2146,1,8,2
2147,3,6,0
2148,3,6,1
2149,0,3,0
2150,4,3,1
2151,4,7,1
2152,5,2,1
2153,2,3,2
2154,0,2,1
2155,1,2,2
2156,2,6,1
2157,4,5,0
2158,5,4,2
2159,0,4,1
2160,3,6,1
2161,3,2,1
2162,0,2,2
2163,1,5,0
2164,1,6,0
2165,2,6,1
2166,1,6,1
2167,0,3,1
2168,3,4,0
2169,2,1,2
2170,3,0,1
2171,0,3,0
2172,1,6,1
2173,0,0,1
2174,1,4,1
2175,3,5,1
2176,1,4,2
2177,1,2,1
2178,2,4,2
2179,0,8,0
2180,1,8,2
2181,2,1,1
2182,1,3,0
2183,1,7,1
2184,2,6,2
2185,3,3,4
2186,3,4,0
2187,1,4,0
2188,2,8,6
2189,1,4,0
2190,1,2,1
2191,4,6,0
2192,2,2,1
2193,1,9,0
2194,0,6,2
2195,2,6,0
2196,2,5,1
2197,1,5,2
2198,1,6,0
2199,2,6,2
2200,3,2,1
2201,2,5,1
2202,1,8,1
2203,0,2,0
2204,1,4,0
2205,1,8,0
2206,3,4,0
2207,3,5,0
2208,1,1,1
2209,1,2,2
2210,1,2,2
2211,1,2,1
2212,1,2,1
2213,3,3,0
2214,2,7,0
2215,3,8,0
2216,0,2,1
2217,1,1,0
2218,2,7,2
2219,1,4,1
2220,0,9,3
2221,3,5,1
2222,0,1,0
2223,2,2,0
2224,3,4,1
2225,0,3,0
2226,2,2,0
2227,3,7,1
2228,2,5,2
2229,0,4,3
2230,1,3,0
2231,2,6,1
2232,1,9,0
2233,0,9,0
2234,0,3,2
2235,3,1,2
2236,2,2,1
2237,2,4,1
2238,0,4,1
2239,1,6,2
2240,1,4,0
2241,1,3,2
2242,0,6,0
2243,1,3,0
2244,1,2,1
2245,1,6,0
2246,4,3,0
2247,2,5,1
2248,2,4,1
2249,2,6,2
2250,3,5,0
2251,2,6,2
2252,1,4,0
2253,1,7,1
2254,1,5,1
2255,3,5,1
2256,1,5,1
2257,1,4,0
2258,0,2,1
2259,3,6,1
2260,2,8,2
2261,1,3,2
2262,2,6,0
2263,3,5,2
2264,4,5,1
2265,4,3,1
2266,2,5,4
2267,1,2,1
2268,4,4,1
2269,2,3,0
2270,2,3,2
2271,0,3,0
2272,1,1,0
2273,1,4,2
2274,2,5,0
2275,1,1,0
2276,1,4,1
2277,1,5,0
2278,2,2,1
2279,0,6,0
2280,0,9,1
2281,2,4,0
2282,0,2,0
2283,2,5,0
2284,3,5,0
2285,2,2,1
2286,1,1,1
2287,3,5,3
2288,0,2,0
2289,2,5,1
2290,2,7,0
2291,0,5,0
2292,0,5,3
2293,1,11,0
2294,3,3,0
2295,1,4,0
2296,2,3,1
2297,2,5,2
2298,3,4,0
2299,0,3,0
2300,2,5,2
2301,2,3,0
2302,1,6,0
2303,1,6,0
2304,3,4,0
2305,0,6,1
2306,3,4,0
2307,2,6,1
2308,1,4,1
2309,0,6,0
2310,2,4,1
2311,0,6,0
2312,1,5,0
2313,0,3,0
2314,4,5,1
2315,3,10,2
2316,2,7,0
2317,0,4,0
2318,3,2,0
2319,1,10,3
2320,2,5,4
2321,3,1,2
2322,3,10,0
2323,0,8,1
2324,1,1,1
2325,1,4,0
2326,3,5,2
2327,2,6,0
2328,2,5,3
2329,0,6,0
2330,3,3,1
2331,0,7,1
2332,3,7,1
2333,2,6,2
2334,1,2,1
2335,1,7,0
2336,3,5,0
2337,2,4,0
2338,1,3,4
2339,0,7,3
2340,3,4,2
2341,1,8,1
2342,2,6,3
2343,1,4,0
2344,3,6,2
2345,4,5,1
2346,0,4,0
2347,2,4,2
2348,3,9,0
2349,3,4,0
2350,2,7,1
2351,1,5,0
2352,0,2,0
2353,0,5,0
2354,1,6,2
2355,1,4,1
2356,2,3,2
2357,0,2,1
2358,0,4,0
2359,1,3,1
2360,0,5,0
2361,1,5,0
2362,1,2,1
2363,1,9,0
2364,3,9,0
2365,2,4,0
2366,1,2,1
2367,0,6,2
2368,1,4,1
2369,1,3,1
2370,0,4,0
2371,1,6,0
2372,0,7,0
2373,0,7,0
2374,1,8,1
2375,1,2,0
2376,2,2,0
2377,1,4,1
2378,0,2,0
2379,1,1,2
2380,3,6,2
2381,3,3,0
2382,1,6,1
2383,2,6,0
2384,2,6,2
2385,0,8,1
2386,3,4,0
2387,0,10,0
2388,1,4,1
2389,1,4,2
2390,2,6,2
2391,1,2,2
2392,0,4,2
2393,3,3,0
2394,0,3,2
2395,2,2,1
2396,1,2,2
2397,1,5,0
2398,1,8,0
2399,2,5,1
2400,2,9,1
2401,3,2,0
2402,1,6,1
2403,1,3,1
2404,2,6,0
2405,1,6,1
2406,1,4,2
2407,2,4,1
2408,1,5,0
2409,4,3,1
2410,1,5,3
2411,2,4,0
2412,2,8,1
2413,0,11,1
2414,2,5,0
2415,3,5,0
2416,1,8,0
2417,2,3,2
2418,3,4,1
2419,0,8,1
2420,1,6,2
2421,3,8,1
2422,1,3,1
2423,0,4,0
2424,1,4,0
2425,2,4,2
2426,1,5,0
2427,0,2,1
2428,0,1,2
2429,4,2,0
2430,1,8,1
2431,1,4,2
2432,2,4,2
2433,3,8,0
2434,0,4,0
2435,1,5,1
2436,1,4,1
2437,1,4,1
2438,3,5,1
2439,1,3,1
2440,0,4,1
2441,1,3,1
2442,1,4,2
2443,1,1,1
2444,1,5,0
2445,0,6,2
2446,1,8,1
2447,0,2,1
2448,2,3,0
2449,1,7,1
2450,1,4,2
2451,2,7,1
2452,2,5,2
2453,3,6,2
2454,1,4,1
2455,1,4,1
2456,4,7,2
2457,2,4,1
2458,0,8,0
2459,0,5,1
2460,3,7,0
2461,2,4,0
2462,3,2,0
2463,0,5,1
2464,0,6,0
2465,2,4,1
2466,1,3,0
2467,2,1,0
2468,1,3,1
2469,1,3,1
2470,0,7,1
2471,2,8,0
2472,4,4,1
2473,1,6,2
2474,3,10,0
2475,1,5,0
2476,3,4,1
2477,1,1,0
2478,3,1,0
2479,2,3,0
2480,1,1,2
2481,1,6,2
2482,2,5,1
2483,1,4,1
2484,2,4,1
2485,4,6,1
2486,3,5,0
2487,3,6,2
2488,5,5,0
2489,2,7,0
2490,1,3,1
2491,2,5,0
2492,1,6,1
2493,1,6,1
2494,0,6,1
2495,1,5,1
2496,0,3,2
2497,1,3,0
2498,0,3,1
2499,1,2,1
2500,2,4,2
2501,3,2,0
2502,1,5,2
2503,1,2,1
2504,1,3,0
2505,3,9,1
2506,1,2,1
2507,1,5,1
2508,3,2,1
2509,4,5,0
2510,4,8,3
2511,1,6,0
2512,2,4,1
2513,0,0,0
2514,2,2,0
2515,2,4,0
2516,1,2,1
2517,2,2,1
2518,1,3,2
2519,1,5,3
2520,1,2,0
2521,2,7,0
2522,0,3,0
2523,2,6,0
2524,3,6,1
2525,0,5,2
2526,1,4,1
2527,1,6,2
2528,2,5,3
2529,1,3,1
2530,2,5,1
2531,0,4,0
2532,0,4,0
2533,2,3,1
2534,2,4,0
2535,1,5,1
2536,3,5,0
2537,3,5,2
2538,2,4,1
2539,0,6,2
2540,1,2,0
2541,2,6,1
2542,1,7,0
2543,1,4,2
2544,0,2,0
2545,3,4,1
2546,1,2,0
2547,1,7,0
2548,3,5,0
2549,2,5,3
2550,3,8,2
2551,0,6,0
2552,1,6,2
2553,5,11,3
2554,3,3,1
2555,2,6,2
2556,3,7,1
2557,2,4,0
2558,1,9,0
2559,1,5,0
2560,0,4,0
2561,2,2,0
2562,1,3,2
2563,2,3,2
2564,1,5,1
2565,0,2,0
2566,2,2,2
2567,0,5,0
2568,2,6,0
2569,0,2,1
2570,2,4,0
2571,1,5,1
2572,0,5,1
2573,1,5,1
2574,3,7,0
2575,1,2,0
2576,1,5,0
2577,2,3,0
2578,1,5,1
2579,2,4,0
2580,0,5,2
2581,2,3,1
2582,0,2,1
2583,1,5,0
2584,2,6,1
2585,3,3,0
2586,0,1,1
2587,1,5,0
2588,1,2,0
2589,3,8,2
2590,1,5,1
2591,0,3,1
2592,3,5,0
2593,0,9,1
2594,3,6,1
2595,0,5,0
2596,1,5,4
2597,0,5,1
2598,0,6,0
2599,1,5,0
2600,1,2,1
2601,3,3,2
2602,1,6,1
2603,1,6,0
2604,2,3,1
2605,2,4,2
2606,2,7,0
2607,0,7,0
2608,0,5,0
2609,3,5,0
2610,2,4,1
2611,0,6,1
2612,3,2,2
2613,1,2,1
2614,4,2,1
2615,0,5,0
2616,0,5,1
2617,3,6,1
2618,4,1,0
2619,1,2,1
2620,0,3,2
2621,3,8,0
2622,0,4,0
2623,3,5,2
2624,2,10,1
2625,2,5,2
2626,3,3,0
2627,0,4,2
2628,3,6,1
2629,1,5,3
2630,0,6,2
2631,0,4,0
2632,1,6,1
2633,0,5,0
2634,0,5,0
2635,2,2,2
2636,1,5,1
2637,2,5,2
2638,1,1,2
2639,2,6,2
2640,0,2,1
2641,1,3,3
2642,4,8,0
2643,0,0,0
2644,2,2,1
2645,2,3,0
2646,0,5,1
2647,0,6,0
2648,0,6,2
2649,1,5,0
2650,0,3,0
2651,3,4,1
2652,0,3,2
2653,0,4,2
2654,1,5,3
2655,2,3,1
2656,0,5,1
2657,3,5,1
2658,2,1,0
2659,1,4,1
2660,1,5,0
2661,1,6,0
2662,1,5,0
2663,1,5,0
2664,1,6,2
2665,1,2,1
2666,1,9,1
2667,2,2,1
2668,3,3,1
2669,4,2,0
2670,0,7,0
2671,3,4,2
2672,1,5,0
2673,0,6,0
2674,0,6,0
2675,1,5,1
2676,0,6,2
2677,1,3,2
2678,2,3,2
2679,3,9,1
2680,1,5,3
2681,4,7,1
2682,1,8,0
2683,1,3,1
2684,1,1,3
2685,1,7,0
2686,4,4,2
2687,1,3,1
2688,1,2,1
2689,1,4,1
2690,0,3,0
2691,1,4,0
2692,2,2,0
2693,4,1,0
2694,1,7,1
2695,0,6,0
2696,1,5,1
2697,2,7,1
2698,1,6,1
2699,2,6,0
2700,2,5,1
2701,0,6,1
2702,1,4,1
2703,0,3,1
2704,2,7,3
2705,0,3,3
2706,2,6,3
2707,3,7,1
2708,1,5,1
2709,2,5,0
2710,1,7,1
2711,1,2,1
2712,2,3,3
2713,1,1,2
2714,2,4,1
2715,1,2,2
2716,4,3,1
2717,0,4,1
2718,1,3,2
2719,2,4,1
2720,1,1,0
2721,1,6,1
2722,4,6,0
2723,3,3,2
2724,3,4,0
2725,2,6,1
2726,1,5,3
2727,2,8,0
2728,2,4,1
2729,0,1,0
2730,1,4,1
2731,2,10,0
2732,0,2,2
2733,0,10,0
2734,1,3,2
2735,2,2,2
2736,5,3,0
2737,2,3,1
2738,1,2,0
2739,3,5,1
2740,2,3,1
2741,1,2,0
2742,1,4,0
2743,3,3,2
2744,0,5,3
2745,1,5,0
2746,1,4,2
2747,2,2,3
2748,1,2,1
2749,2,4,1
2750,3,3,0
2751,1,7,1
2752,2,3,0
2753,0,3,1
2754,0,4,1
2755,0,7,0
2756,2,10,5
2757,1,7,1
2758,0,5,0
2759,0,4,3
2760,3,3,0
2761,0,6,1
2762,1,4,2
2763,1,3,0
2764,3,7,0
2765,2,4,1
2766,0,7,2
2767,3,3,1
2768,1,3,1
2769,2,7,0
2770,4,2,1
2771,1,1,1
2772,2,5,1
2773,1,8,1
2774,2,4,0
2775,1,6,1
2776,5,1,0
2777,3,4,3
2778,0,6,0
2779,1,2,3
2780,0,10,0
2781,1,8,2
2782,1,4,0
2783,4,8,0
2784,0,5,1
2785,3,1,2
2786,0,4,4
2787,2,6,0
2788,2,1,2
2789,1,7,0
2790,3,3,0
2791,0,5,0
2792,0,3,4
2793,2,2,0
2794,1,4,1
2795,1,3,0
2796,0,3,4
2797,2,8,2
2798,3,3,0
2799,2,2,2
2800,2,8,0
2801,0,7,0
2802,3,1,2
2803,1,4,0
2804,2,2,0
2805,3,4,2
2806,1,8,1
2807,1,6,0
2808,3,4,0
2809,0,7,0
2810,1,2,0
2811,2,3,2
2812,0,4,1
2813,3,4,1
2814,0,6,1
2815,3,3,1
2816,0,3,1
2817,4,4,0
2818,0,7,1
2819,0,3,0
2820,1,3,2
2821,1,8,0
2822,0,7,0
2823,1,5,2
2824,1,3,1
2825,3,3,3
2826,1,5,0
2827,2,6,1
2828,2,2,1
2829,2,5,0
2830,1,5,1
2831,3,6,2
2832,1,7,1
2833,1,4,1
2834,4,7,1
2835,1,9,1
2836,2,4,0
2837,4,6,0
2838,2,3,3
2839,2,4,0
2840,2,4,0
2841,0,6,0
2842,2,3,2
2843,4,5,1
2844,0,6,0
2845,2,2,0
2846,4,5,1
2847,0,5,3
2848,0,3,2
2849,1,4,3
2850,2,4,2
2851,2,7,1
2852,2,4,1
2853,2,4,0
2854,0,5,0
2855,2,3,1
2856,0,6,1
2857,0,5,1
2858,1,1,1
2859,3,2,1
2860,3,6,0
2861,1,4,1
2862,0,8,1
2863,2,6,0
2864,1,5,1
2865,1,2,0
2866,1,3,1
2867,1,6,0
2868,4,6,1
2869,2,4,0
2870,0,2,1
2871,1,3,3
2872,2,2,0
2873,2,2,1
2874,2,5,1
2875,0,5,2
2876,4,8,0
2877,1,6,0
2878,3,6,0
2879,0,3,1
2880,0,3,1
2881,2,5,0
2882,1,0,1
2883,3,7,2
2884,0,1,2
2885,3,4,1
2886,1,3,0
2887,3,3,1
2888,2,6,2
2889,2,5,1
2890,1,5,1
2891,4,5,0
2892,2,2,2
2893,0,7,2
2894,3,5,2
2895,0,3,1
2896,0,4,0
2897,1,1,0
2898,2,2,2
2899,1,4,2
2900,2,1,0
2901,1,8,1
2902,0,2,0
2903,3,4,1
2904,3,6,1
2905,3,4,1
2906,2,4,1
2907,1,1,5
2908,2,6,0
2909,3,5,2
2910,3,5,1
2911,2,0,0
2912,0,4,0
2913,3,6,2
2914,0,3,1
2915,2,2,1
2916,0,2,2
2917,1,3,3
2918,1,3,1
2919,0,10,0
2920,2,10,1
2921,2,5,1
2922,2,5,1
2923,4,1,3
2924,2,1,0
2925,1,2,3
2926,0,3,0
2927,1,6,1
2928,2,3,2
2929,1,4,2
2930,0,3,1
2931,0,3,0
2932,3,4,1
2933,1,3,1
2934,2,13,1
2935,3,5,2
2936,0,4,1
2937,3,6,0
2938,3,7,0
2939,2,6,2
2940,2,3,0
2941,3,2,2
2942,1,5,1
2943,1,3,0
2944,1,2,2
2945,1,6,3
2946,1,5,1
2947,1,5,1
2948,5,4,1
2949,1,1,0
2950,0,3,2
2951,0,7,0
2952,4,4,0
2953,3,4,1
2954,2,6,3
2955,1,11,0
2956,3,4,1
2957,0,6,1
2958,2,4,0
2959,2,5,1
2960,1,5,0
2961,4,4,1
2962,2,3,1
2963,2,10,1
2964,1,3,0
2965,3,7,2
2966,1,3,2
2967,2,7,0
2968,1,6,0
2969,1,6,0
2970,3,4,1
2971,2,1,0
2972,4,3,0
2973,2,2,1
2974,1,3,1
2975,1,1,0
2976,0,2,1
2977,2,5,0
2978,2,1,2
2979,2,3,0
2980,2,3,0
2981,1,5,2
2982,2,4,0
2983,2,4,0
2984,2,5,0
2985,1,6,1
2986,3,4,1
2987,2,4,0
2988,3,8,1
2989,1,6,0
2990,0,3,1
2991,2,5,0
2992,2,2,1
2993,1,7,1
2994,1,1,1
2995,1,4,1
2996,0,6,0
2997,2,5,2
2998,1,5,1
2999,3,5,1
3000,2,7,1
3001,2,1,2
3002,2,0,1
3003,2,5,2
3004,1,8,0
3005,2,1,1
3006,0,6,2
3007,3,5,1
3008,1,4,1
3009,1,3,2
3010,0,4,1
3011,2,3,0
3012,0,6,0
3013,1,5,0
3014,1,4,1
3015,1,4,2
3016,0,4,1
3017,3,3,4
3018,1,3,0
3019,2,1,0
3020,0,8,0
3021,2,7,0
3022,4,1,0
3023,1,7,0
3024,2,1,1
3025,0,4,0
3026,1,3,1
3027,1,3,0
3028,0,4,0
3029,3,5,2
3030,1,5,0
3031,1,3,3
3032,0,2,0
3033,2,4,0
3034,3,1,1
3035,2,10,1
3036,2,7,0
3037,1,4,0
3038,3,8,1
3039,3,8,1
3040,1,4,1
3041,3,9,2
3042,1,5,1
3043,1,5,0
3044,1,1,0
3045,3,2,1
3046,1,3,0
3047,2,4,4
3048,1,8,1
3049,0,3,2
3050,2,11,1
3051,3,1,3
3052,1,1,0
3053,3,7,0
3054,2,5,1
3055,2,7,1
3056,0,4,1
3057,0,5,2
3058,2,7,2
3059,2,7,0
3060,0,4,2
3061,2,4,5
3062,0,1,1
3063,3,3,0
3064,0,3,0
3065,2,1,0
3066,5,6,1
3067,2,5,0
3068,3,6,0
3069,2,1,0
3070,1,3,1
3071,0,8,1
3072,1,4,0
3073,1,7,1
3074,2,4,0
3075,2,3,3
3076,0,4,3
3077,0,6,0
3078,3,5,1
3079,4,12,1
3080,0,1,1
3081,1,6,2
3082,2,2,2
3083,1,4,2
3084,1,2,1
3085,1,4,0
3086,2,8,1
3087,0,3,2
3088,2,6,1
3089,2,3,1
3090,1,5,0
3091,1,4,0
3092,1,3,1
3093,1,5,0
3094,0,5,0
3095,0,3,0
3096,0,10,0
3097,2,7,1
3098,0,5,2
3099,3,5,0
3100,2,10,3
3101,1,2,1
3102,3,5,0
3103,2,5,0
3104,1,5,0
3105,1,3,2
3106,3,3,1
3107,1,2,4
3108,3,5,1
3109,1,6,0
3110,1,3,1
3111,1,6,2
3112,2,5,2
3113,1,6,1
3114,0,5,2
3115,3,4,0
3116,1,5,1
3117,1,9,0
3118,1,2,2
3119,5,4,1
3120,5,6,1
3121,0,4,3
3122,3,2,1
3123,1,1,0
3124,1,10,2
3125,2,4,1
3126,1,7,0
3127,1,2,2
3128,0,4,2
3129,3,6,0
3130,0,4,1
3131,2,1,1
3132,1,2,2
3133,0,2,1
3134,0,4,0
3135,1,6,0
3136,1,3,0
3137,3,4,2
3138,3,5,0
3139,1,4,0
3140,0,8,0
3141,1,6,0
3142,4,8,0
3143,0,8,2
3144,1,6,1
3145,2,1,0
3146,4,5,0
3147,2,4,1
3148,1,10,0
3149,1,2,1
3150,0,2,0
3151,4,5,3
3152,1,6,1
3153,2,5,3
3154,3,8,1
3155,1,3,0
3156,2,7,1
3157,3,3,1
3158,1,4,2
3159,1,2,0
3160,2,3,0
3161,1,2,1
3162,2,2,1
3163,0,4,0
3164,2,4,0
3165,2,3,2
3166,2,6,1
3167,1,5,1
3168,2,3,0
3169,1,2,0
3170,4,5,0
3171,1,6,1
3172,3,3,1
3173,1,4,2
3174,2,4,1
3175,0,3,0
3176,2,3,1
3177,0,9,0
3178,2,7,0
3179,4,7,2
3180,5,6,0
3181,0,5,1
3182,2,3,1
3183,2,5,1
3184,1,6,0
3185,1,2,0
3186,1,6,0
3187,1,6,1
3188,1,7,1
3189,1,5,0
3190,3,5,1
3191,1,5,0
3192,1,5,0
3193,1,2,3
3194,6,6,0
3195,1,6,1
3196,2,6,0
3197,2,5,0
3198,4,7,0
3199,3,3,1
3200,1,5,0
3201,1,7,0
3202,1,5,0
3203,1,3,2
3204,0,4,0
3205,0,1,0
3206,3,2,1
3207,1,2,1
3208,1,5,1
3209,2,7,0
3210,1,5,2
3211,3,11,1
3212,0,6,1
3213,3,3,0
3214,2,6,0
3215,1,1,0
3216,1,5,0
3217,1,6,0
3218,1,8,0
